2024-03-22 11:02:27,631 - connection - INFO - Клиент отключен: ('127.0.0.1', 57888)
2024-03-22 11:02:27,824 - connection - INFO - Подключение от ('127.0.0.1', 57889)
2024-03-22 11:02:27,825 - connection - INFO - Клиент подключен: ('127.0.0.1', 57889)
2024-03-22 11:02:27,825 - connection - ERROR - Попытка записи в разорванное соединение: ('127.0.0.1', 57889)
2024-03-22 11:02:27,825 - connection - INFO - Клиент отключен: ('127.0.0.1', 57889)
2024-03-22 11:02:28,003 - connection - INFO - Подключение от ('127.0.0.1', 57890)
2024-03-22 11:02:28,004 - connection - INFO - Клиент подключен: ('127.0.0.1', 57890)
2024-03-22 11:02:28,004 - connection - ERROR - Соединение было неожиданно сброшено клиентом: ('127.0.0.1', 57890)
2024-03-22 11:02:28,004 - connection - INFO - Клиент отключен: ('127.0.0.1', 57890)
2024-03-22 11:02:28,266 - connection - INFO - Подключение от ('127.0.0.1', 57891)
2024-03-22 11:02:28,267 - connection - INFO - Клиент подключен: ('127.0.0.1', 57891)
2024-03-22 11:02:28,267 - connection - ERROR - Соединение было неожиданно сброшено клиентом: ('127.0.0.1', 57891)
2024-03-22 11:02:28,268 - connection - INFO - Клиент отключен: ('127.0.0.1', 57891)
2024-03-22 11:02:28,448 - connection - INFO - Подключение от ('127.0.0.1', 57892)
2024-03-22 11:02:28,449 - connection - INFO - Клиент подключен: ('127.0.0.1', 57892)
2024-03-22 11:02:28,449 - connection - ERROR - Соединение было неожиданно сброшено клиентом: ('127.0.0.1', 57892)
2024-03-22 11:02:28,449 - connection - INFO - Клиент отключен: ('127.0.0.1', 57892)
2024-03-22 11:02:28,636 - connection - INFO - Подключение от ('127.0.0.1', 57893)
2024-03-22 11:02:28,637 - connection - INFO - Клиент подключен: ('127.0.0.1', 57893)
2024-03-22 11:02:28,637 - connection - ERROR - Соединение было неожиданно сброшено клиентом: ('127.0.0.1', 57893)
2024-03-22 11:02:28,638 - connection - INFO - Клиент отключен: ('127.0.0.1', 57893)
2024-03-22 11:02:28,819 - connection - INFO - Подключение от ('127.0.0.1', 57894)
2024-03-22 11:02:28,820 - connection - INFO - Клиент подключен: ('127.0.0.1', 57894)
2024-03-22 11:02:28,820 - connection - ERROR - Соединение было неожиданно сброшено клиентом: ('127.0.0.1', 57894)
2024-03-22 11:02:28,820 - connection - INFO - Клиент отключен: ('127.0.0.1', 57894)
2024-03-22 11:02:29,022 - connection - INFO - Подключение от ('127.0.0.1', 57895)
2024-03-22 11:02:29,023 - connection - INFO - Клиент подключен: ('127.0.0.1', 57895)
2024-03-22 11:02:29,023 - connection - ERROR - Попытка записи в разорванное соединение: ('127.0.0.1', 57895)
2024-03-22 11:02:29,023 - connection - INFO - Клиент отключен: ('127.0.0.1', 57895)
2024-03-22 11:02:29,200 - connection - INFO - Подключение от ('127.0.0.1', 57896)
2024-03-22 11:02:29,201 - connection - INFO - Клиент подключен: ('127.0.0.1', 57896)
2024-03-22 11:02:29,201 - connection - ERROR - Попытка записи в разорванное соединение: ('127.0.0.1', 57896)
2024-03-22 11:02:29,202 - connection - INFO - Клиент отключен: ('127.0.0.1', 57896)
2024-03-22 11:02:29,361 - connection - INFO - Подключение от ('127.0.0.1', 57897)
2024-03-22 11:02:29,362 - connection - INFO - Клиент подключен: ('127.0.0.1', 57897)
2024-03-22 11:02:29,362 - connection - ERROR - Попытка записи в разорванное соединение: ('127.0.0.1', 57897)
2024-03-22 11:02:29,362 - connection - INFO - Клиент отключен: ('127.0.0.1', 57897)
2024-03-22 11:16:41,584 - connection - INFO - Сервер запущен и слушает 0.0.0.0:12345
2024-03-22 11:16:43,199 - connection - INFO - Подключение от ('127.0.0.1', 58070)
2024-03-22 11:16:43,200 - connection - INFO - Connected client: ('127.0.0.1', 58070)
2024-03-22 11:16:43,200 - connection - INFO - Client choice: 1
2024-03-22 11:16:43,201 - connection - ERROR - Attempt to write to a broken connection: ('127.0.0.1', 58070)
2024-03-22 11:16:43,201 - connection - INFO - Client disconnected: ('127.0.0.1', 58070)
2024-03-22 11:16:46,498 - connection - INFO - Подключение от ('127.0.0.1', 58073)
2024-03-22 11:16:46,499 - connection - INFO - Connected client: ('127.0.0.1', 58073)
2024-03-22 11:16:46,500 - connection - INFO - Client choice: 1
2024-03-22 11:16:46,500 - connection - ERROR - Attempt to write to a broken connection: ('127.0.0.1', 58073)
2024-03-22 11:16:46,500 - connection - INFO - Client disconnected: ('127.0.0.1', 58073)
2024-03-22 11:16:47,320 - connection - INFO - Подключение от ('127.0.0.1', 58074)
2024-03-22 11:16:47,321 - connection - INFO - Connected client: ('127.0.0.1', 58074)
2024-03-22 11:16:47,321 - connection - INFO - Client choice: 1
2024-03-22 11:16:47,321 - connection - ERROR - Attempt to write to a broken connection: ('127.0.0.1', 58074)
2024-03-22 11:16:47,322 - connection - INFO - Client disconnected: ('127.0.0.1', 58074)
2024-03-22 11:16:47,533 - connection - INFO - Подключение от ('127.0.0.1', 58075)
2024-03-22 11:16:47,533 - connection - INFO - Connected client: ('127.0.0.1', 58075)
2024-03-22 11:16:47,533 - connection - INFO - Client choice: 1
2024-03-22 11:16:47,533 - connection - ERROR - Attempt to write to a broken connection: ('127.0.0.1', 58075)
2024-03-22 11:16:47,533 - connection - INFO - Client disconnected: ('127.0.0.1', 58075)
2024-03-22 11:16:47,751 - connection - INFO - Подключение от ('127.0.0.1', 58076)
2024-03-22 11:16:47,751 - connection - INFO - Connected client: ('127.0.0.1', 58076)
2024-03-22 11:16:47,751 - connection - INFO - Client choice: 1
2024-03-22 11:16:47,751 - connection - ERROR - Attempt to write to a broken connection: ('127.0.0.1', 58076)
2024-03-22 11:16:47,751 - connection - INFO - Client disconnected: ('127.0.0.1', 58076)
2024-03-22 11:16:47,945 - connection - INFO - Подключение от ('127.0.0.1', 58077)
2024-03-22 11:16:47,945 - connection - INFO - Connected client: ('127.0.0.1', 58077)
2024-03-22 11:16:47,945 - connection - INFO - Client choice: 1
2024-03-22 11:16:47,945 - connection - ERROR - Attempt to write to a broken connection: ('127.0.0.1', 58077)
2024-03-22 11:16:47,945 - connection - INFO - Client disconnected: ('127.0.0.1', 58077)
2024-03-22 11:16:48,146 - connection - INFO - Подключение от ('127.0.0.1', 58078)
2024-03-22 11:16:48,146 - connection - INFO - Connected client: ('127.0.0.1', 58078)
2024-03-22 11:16:48,146 - connection - INFO - Client choice: 1
2024-03-22 11:16:48,147 - connection - ERROR - Attempt to write to a broken connection: ('127.0.0.1', 58078)
2024-03-22 11:16:48,147 - connection - INFO - Client disconnected: ('127.0.0.1', 58078)
2024-03-22 11:16:48,361 - connection - INFO - Подключение от ('127.0.0.1', 58079)
2024-03-22 11:16:48,361 - connection - INFO - Connected client: ('127.0.0.1', 58079)
2024-03-22 11:16:48,361 - connection - INFO - Client choice: 1
2024-03-22 11:16:48,361 - connection - ERROR - Attempt to write to a broken connection: ('127.0.0.1', 58079)
